match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762891,Sarmiento (Junín),0.528,348,255,73.3,12,3,,,5,1,18,6,1,2,1.62
762891,Estudiantes de Río Cuarto,0.472,307,207,67.4,10,2,,,1,0,12,8,1,2,1.24
762886,Huracán,0.514,396,325,82.1,20,7,,,5,3,12,3,3,1,3.14
762886,Belgrano (Córdoba),0.486,369,300,81.3,9,2,,,1,1,11,3,1,4,1.16
762880,Atlético Tucumán,0.46,282,185,65.6,14,4,,,4,0,9,7,6,1,2.0
762880,Racing Club,0.54,338,262,77.5,11,4,,,4,3,15,6,1,4,1.76
762878,Lanús,0.48,476,390,81.9,9,2,,,2,0,9,8,1,2,1.16
762878,Boca Juniors,0.52,532,441,82.9,11,5,,,2,3,8,1,0,2,1.98
762918,Independiente,0.57,374,277,74.1,13,7,,,2,4,12,7,1,2,2.58
762918,Unión (Santa Fe),0.43,291,195,67.0,9,6,,,0,4,10,3,4,2,2.04
762914,Tigre,0.411,294,199,67.7,16,4,,,2,1,16,4,0,3,2.16
762914,Vélez Sarsfield,0.589,439,340,77.4,9,5,,,3,1,12,3,0,3,1.82
762920,Newell's Old Boys,0.356,240,161,67.1,6,3,,,2,1,17,5,2,6,1.14
762920,Platense,0.644,438,343,78.3,19,7,,,2,1,14,6,0,2,3.06
762921,Sarmiento (Junín),0.518,337,248,73.6,8,3,,,2,0,8,3,3,5,1.3
762921,Racing Club,0.482,313,226,72.2,9,5,,,0,0,14,4,2,3,1.82
762909,Argentinos Juniors,0.584,488,386,79.1,12,2,,,4,0,11,5,4,4,1.4
762909,Rosario Central,0.416,344,263,76.5,11,4,,,3,0,12,5,2,2,1.76
762911,Banfield,0.542,385,312,81.0,18,5,,,6,1,12,8,1,4,2.54
762911,Gimnasia La Plata,0.458,346,263,76.0,13,6,,,2,2,6,3,1,4,2.36
762912,Boca Juniors,0.697,509,429,84.3,11,3,,,0,1,8,1,1,1,1.54
762912,San Lorenzo,0.303,217,141,65.0,4,2,,,0,1,14,2,1,2,0.76
762923,Atlético Tucumán,0.631,415,291,70.1,17,5,,,2,1,10,11,0,0,2.46
762923,Aldosivi,0.369,245,137,55.9,7,1,,,4,1,18,5,1,5,0.78
762919,Independiente Rivadavia,0.729,513,445,86.7,22,11,,,3,1,9,6,3,1,4.18
762919,Barracas Central,0.271,203,125,61.6,8,3,,,2,2,11,1,0,10,1.3
762913,Defensa y Justicia,0.566,422,357,84.6,11,6,,,1,1,14,5,0,4,2.2
762913,Central Córdoba (Santiago del Estero),0.434,326,266,81.6,8,5,,,0,1,10,2,2,5,1.74
762910,Deportivo Riestra,0.553,314,164,52.2,14,7,,,4,0,20,7,1,2,2.66
762910,Gimnasia (Mendoza),0.447,258,149,57.8,7,2,,,2,0,13,2,1,7,1.0
762915,Estudiantes de Río Cuarto,0.536,382,268,70.2,16,2,,,4,0,4,8,1,0,1.72
762915,Belgrano (Córdoba),0.464,350,245,70.0,8,1,,,3,1,10,2,1,2,0.86
762922,Talleres (Córdoba),0.408,295,211,71.5,5,3,,,0,2,10,1,0,5,1.06
762922,Instituto (Córdoba),0.592,410,333,81.2,17,5,,,4,0,18,8,4,1,2.46
762917,Huracán,0.4,286,215,75.2,15,5,,,2,1,11,4,0,5,2.3
762917,River Plate,0.6,438,366,83.6,10,7,,,2,2,10,4,0,4,2.34
762916,Estudiantes de La Plata,0.574,502,427,85.1,17,3,,,8,0,7,7,1,1,2.02
762916,Lanús,0.426,377,309,82.0,7,2,,,3,1,13,5,4,3,1.0
762932,Platense,0.509,379,287,75.7,14,4,,,4,0,11,5,1,4,2.0
762932,Vélez Sarsfield,0.491,371,265,71.4,14,6,,,1,2,9,7,1,4,2.44
762935,Rosario Central,0.714,587,508,86.5,21,6,,,6,2,10,6,0,1,3.0
762935,Banfield,0.286,233,156,67.0,7,2,,,2,1,12,0,2,5,1.0
762928,Gimnasia La Plata,0.486,356,284,79.8,9,3,,,2,2,12,4,1,1,1.38
762928,Independiente Rivadavia,0.514,388,317,81.7,13,3,,,3,3,11,2,0,1,1.7
762926,Belgrano (Córdoba),0.479,283,209,73.9,8,0,,,3,0,17,1,1,2,0.64
762926,Talleres (Córdoba),0.521,312,243,77.9,11,2,,,6,0,16,3,2,0,1.32
762934,River Plate,0.788,692,614,88.7,34,12,,,11,2,11,10,0,1,5.36
762934,Sarmiento (Junín),0.212,186,105,56.5,2,1,,,1,0,15,2,5,10,0.38
762937,Tigre,0.352,288,197,68.4,6,3,,,0,1,15,1,3,3,1.14
762937,Argentinos Juniors,0.648,549,468,85.2,8,3,,,2,1,16,2,3,2,1.3
762938,Unión (Santa Fe),0.394,339,266,78.5,14,3,,,4,1,7,5,3,4,1.78
762938,Boca Juniors,0.606,552,472,85.5,16,6,,,3,1,8,4,0,3,2.6
762924,Aldosivi,0.406,280,188,67.1,12,2,,,4,0,17,4,3,4,1.4
762924,Huracán,0.594,436,344,78.9,14,4,,,3,0,12,4,1,2,2.0
762925,Barracas Central,0.447,349,256,73.4,9,3,,,1,2,8,1,1,3,1.38
762925,Atlético Tucumán,0.553,418,342,81.8,13,3,,,2,1,14,3,3,1,1.7
762936,San Lorenzo,0.527,407,341,83.8,17,6,,,5,2,5,9,1,1,2.68
762936,Defensa y Justicia,0.473,387,322,83.2,11,6,,,1,5,7,2,3,4,2.2
762933,Racing Club,0.562,450,366,81.3,22,3,,,6,2,12,3,4,0,2.42
762933,Estudiantes de Río Cuarto,0.438,364,283,77.7,3,0,,,0,0,13,1,7,1,0.24
