match_id,team,jersey_number,player_name,total_distance_m,zone1_m,zone2_m,zone3_m,zone4_m,zone5_m,high_speed_runs_count,sprint_count,top_speed_kmh,source,source_url,retrieved_at
20260043,Argentina,13,Cristian ROMERO,5027.9,3022.6,1614.6,301.7,64.0,25.0,24.0,5.0,27.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,16,Thiago ALMADA,8426.1,2477.9,4054.5,1125.1,503.5,265.2,100.0,39.0,31.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,20,Alexis MAC ALLISTER,10553.2,3839.1,4908.3,1424.8,303.3,77.6,131.0,26.0,28.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,22,Lautaro MARTINEZ,6814.0,2651.7,2980.9,753.3,294.2,133.9,67.0,26.0,29.1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,24,Enzo FERNANDEZ,11058.0,4179.6,4426.8,1626.0,570.0,255.6,158.0,48.0,31.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,25,Facundo MEDINA,8573.3,3311.3,3858.1,999.9,258.8,145.2,102.0,23.0,32.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,26,Nahuel MOLINA,10087.5,4452.3,3768.2,1208.1,485.9,173.1,89.0,41.0,32.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,3,Nicolas TAGLIAFICO,1791.2,592.7,742.7,303.5,123.6,28.6,22.0,7.0,28.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,5,Leandro PAREDES,2049.8,574.9,876.6,375.7,173.2,49.5,35.0,9.0,29.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,9,Julian ALVAREZ,3636.7,1229.1,1460.7,460.8,352.2,133.9,46.0,28.0,33.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
