team,player_name,birth_date,age_years,market_value_eur,position,club,source,retrieved_at
Portugal,Francisco Conceição,,,30000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,João Félix,,,28000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Gonçalo Ramos,,,30000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Cristiano Ronaldo,,,10000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Germany,Alexander Nübel,,,12000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Manuel Neuer,,,4000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Oliver Baumann,,,2500000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Nico Schlotterbeck,,,55000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Malick Thiaw,,,45000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Jonathan Tah,,,28000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Waldemar Anton,,,18000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Antonio Rüdiger,,,6000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Nathaniel Brown,,,40000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,David Raum,,,25000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Aleksandar Pavlovic,,,90000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Angelo Stiller,,,45000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Joshua Kimmich,,,35000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Felix Nmecha,,,50000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Assan Ouédraogo,,,28000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Nadiem Amiri,,,17000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Leon Goretzka,,,12000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Pascal Groß,,,2500000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Jamal Musiala,,,100000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Florian Wirtz,,,100000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Jamie Leweling,,,40000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Leroy Sané,,,20000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Kai Havertz,,,55000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Nick Woltemade,,,55000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Maximilian Beier,,,40000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Germany,Deniz Undav,,,22000000.0,,,transfermarkt,2026-07-14T01:29:07.527524+00:00
Brazil,Alisson,,,15000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Ederson,,,10000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Weverton,,,700000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Gabriel,,,75000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Bremer,,,35000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Marquinhos,,,28000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Roger Ibañez,,,18000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Léo Pereira,,,12000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Danilo,,,2000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Douglas Santos,,,7500000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Alex Sandro,,,1000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Fabinho,,,12000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Casemiro,,,6000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Bruno Guimarães,,,70000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Éderson,,,45000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Danilo,,,32000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Lucas Paquetá,,,32000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Neymar,,,8000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Vinicius Junior,,,140000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Raphinha,,,70000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Gabriel Martinelli,,,45000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Rayan,,,60000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Luiz Henrique,,,24000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Matheus Cunha,,,75000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Igor Thiago,,,65000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Brazil,Endrick,,,40000000.0,,,transfermarkt,2026-07-14T01:29:12.096960+00:00
Netherlands,Bart Verbruggen,,,40000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Robin Roefs,,,28000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Mark Flekken,,,6000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Micky van de Ven,,,50000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Jan Paul van Hecke,,,45000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Virgil van Dijk,,,15000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Nathan Aké,,,12000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Jorrel Hato,,,40000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
Netherlands,Mats Wieffer,,,25000000.0,,,transfermarkt,2026-07-14T01:29:17.489973+00:00
